FIPS_County,Region,County,County_State,Region_States
1073,Birmingham Tuscaloosa Area,Jefferson County,AL,AL
1117,Birmingham Tuscaloosa Area,Shelby County,AL,AL
1125,Birmingham Tuscaloosa Area,Tuscaloosa County,AL,AL
1005,Central & Southeast Region,Barbour County,AL,AL
1011,Central & Southeast Region,Bullock County,AL,AL
1013,Central & Southeast Region,Butler County,AL,AL
1023,Central & Southeast Region,Choctaw County,AL,AL
1025,Central & Southeast Region,Clarke County,AL,AL
1031,Central & Southeast Region,Coffee County,AL,AL
1035,Central & Southeast Region,Conecuh County,AL,AL
1039,Central & Southeast Region,Covington County,AL,AL
1041,Central & Southeast Region,Crenshaw County,AL,AL
1045,Central & Southeast Region,Dale County,AL,AL
1047,Central & Southeast Region,Dallas County,AL,AL
1053,Central & Southeast Region,Escambia County,AL,AL
1087,Central & Southeast Region,Macon County,AL,AL
1091,Central & Southeast Region,Marengo County,AL,AL
1099,Central & Southeast Region,Monroe County,AL,AL
1105,Central & Southeast Region,Perry County,AL,AL
1109,Central & Southeast Region,Pike County,AL,AL
1129,Central & Southeast Region,Washington County,AL,AL
1131,Central & Southeast Region,Wilcox County,AL,AL
1001,Central & Southeast Region,Autauga County,AL,AL
1007,Central & Southeast Region,Bibb County,AL,AL
1017,Central & Southeast Region,Chambers County,AL,AL
1021,Central & Southeast Region,Chilton County,AL,AL
1027,Central & Southeast Region,Clay County,AL,AL
1037,Central & Southeast Region,Coosa County,AL,AL
1051,Central & Southeast Region,Elmore County,AL,AL
1061,Central & Southeast Region,Geneva County,AL,AL
1063,Central & Southeast Region,Greene County,AL,AL
1065,Central & Southeast Region,Hale County,AL,AL
1067,Central & Southeast Region,Henry County,AL,AL
1069,Central & Southeast Region,Houston County,AL,AL
1081,Central & Southeast Region,Lee County,AL,AL
1085,Central & Southeast Region,Lowndes County,AL,AL
1101,Central & Southeast Region,Montgomery County,AL,AL
1107,Central & Southeast Region,Pickens County,AL,AL
1111,Central & Southeast Region,Randolph County,AL,AL
1113,Central & Southeast Region,Russell County,AL,AL
1119,Central & Southeast Region,Sumter County,AL,AL
1121,Central & Southeast Region,Talladega County,AL,AL
1123,Central & Southeast Region,Tallapoosa County,AL,AL
1003,Mobile-Pensacola Region,Baldwin County,AL,AL-FL-MS
1097,Mobile-Pensacola Region,Mobile County,AL,AL-FL-MS
12033,Mobile-Pensacola Region,Escambia County,FL,AL-FL-MS
12091,Mobile-Pensacola Region,Okaloosa County,FL,AL-FL-MS
12113,Mobile-Pensacola Region,Santa Rosa County,FL,AL-FL-MS
28059,Mobile-Pensacola Region,Jackson County,MS,AL-FL-MS
1055,Northern Region,Etowah County,AL,AL
1009,Northern Region,Blount County,AL,AL
1015,Northern Region,Calhoun County,AL,AL
1019,Northern Region,Cherokee County,AL,AL
1029,Northern Region,Cleburne County,AL,AL
1033,Northern Region,Colbert County,AL,AL
1043,Northern Region,Cullman County,AL,AL
1049,Northern Region,DeKalb County,AL,AL
1057,Northern Region,Fayette County,AL,AL
1059,Northern Region,Franklin County,AL,AL
1071,Northern Region,Jackson County,AL,AL
1075,Northern Region,Lamar County,AL,AL
1077,Northern Region,Lauderdale County,AL,AL
1079,Northern Region,Lawrence County,AL,AL
1083,Northern Region,Limestone County,AL,AL
1089,Northern Region,Madison County,AL,AL
1093,Northern Region,Marion County,AL,AL
1095,Northern Region,Marshall County,AL,AL
1103,Northern Region,Morgan County,AL,AL
1115,Northern Region,St. Clair County,AL,AL
1127,Northern Region,Walker County,AL,AL
1133,Northern Region,Winston County,AL,AL
4015,Outlying Region,Mohave County,AZ,AZ-CA
4007,Outlying Region,Gila County,AZ,AZ-CA
4009,Outlying Region,Graham County,AZ,AZ-CA
4017,Outlying Region,Navajo County,AZ,AZ-CA
4027,Outlying Region,Yuma County,AZ,AZ-CA
4001,Outlying Region,Apache County,AZ,AZ-CA
4011,Outlying Region,Greenlee County,AZ,AZ-CA
4012,Outlying Region,La Paz County,AZ,AZ-CA
6025,Outlying Region,Imperial County,CA,AZ-CA
4021,Phoenix & Scottsdale Area,Pinal County,AZ,AZ
4013,Phoenix & Scottsdale Area,Maricopa County,AZ,AZ
4025,Phoenix & Scottsdale Area,Yavapai County,AZ,AZ
4005,Phoenix & Scottsdale Area,Coconino County,AZ,AZ
4003,Tucson Area,Cochise County,AZ,AZ
4019,Tucson Area,Pima County,AZ,AZ
4023,Tucson Area,Santa Cruz County,AZ,AZ
5025,Eastern Region,Cleveland County,AR,AR
5031,Eastern Region,Craighead County,AR,AR
5069,Eastern Region,Jefferson County,AR,AR
5079,Eastern Region,Lincoln County,AR,AR
5081,Eastern Region,Little River County,AR,AR
5091,Eastern Region,Miller County,AR,AR
5111,Eastern Region,Poinsett County,AR,AR
5001,Eastern Region,Arkansas County,AR,AR
5003,Eastern Region,Ashley County,AR,AR
5011,Eastern Region,Bradley County,AR,AR
5013,Eastern Region,Calhoun County,AR,AR
5017,Eastern Region,Chicot County,AR,AR
5021,Eastern Region,Clay County,AR,AR
5023,Eastern Region,Cleburne County,AR,AR
5027,Eastern Region,Columbia County,AR,AR
5037,Eastern Region,Cross County,AR,AR
5039,Eastern Region,Dallas County,AR,AR
5041,Eastern Region,Desha County,AR,AR
5043,Eastern Region,Drew County,AR,AR
5049,Eastern Region,Fulton County,AR,AR
5055,Eastern Region,Greene County,AR,AR
5057,Eastern Region,Hempstead County,AR,AR
5063,Eastern Region,Independence County,AR,AR
5065,Eastern Region,Izard County,AR,AR
5067,Eastern Region,Jackson County,AR,AR
5073,Eastern Region,Lafayette County,AR,AR
5075,Eastern Region,Lawrence County,AR,AR
5077,Eastern Region,Lee County,AR,AR
5093,Eastern Region,Mississippi County,AR,AR
5095,Eastern Region,Monroe County,AR,AR
5099,Eastern Region,Nevada County,AR,AR
5103,Eastern Region,Ouachita County,AR,AR
5107,Eastern Region,Phillips County,AR,AR
5117,Eastern Region,Prairie County,AR,AR
5121,Eastern Region,Randolph County,AR,AR
5135,Eastern Region,Sharp County,AR,AR
5123,Eastern Region,St. Francis County,AR,AR
5137,Eastern Region,Stone County,AR,AR
5139,Eastern Region,Union County,AR,AR
5141,Eastern Region,Van Buren County,AR,AR
5147,Eastern Region,Woodruff County,AR,AR
5035,Eastern Region,Crittenden County,AR,AR
5053,Eastern Region,Grant County,AR,AR
5127,Little Rock & Hot Springs Region,Scott County,AR,AR
5133,Little Rock & Hot Springs Region,Sevier County,AR,AR
5149,Little Rock & Hot Springs Region,Yell County,AR,AR
5019,Little Rock & Hot Springs Region,Clark County,AR,AR
5045,Little Rock & Hot Springs Region,Faulkner County,AR,AR
5051,Little Rock & Hot Springs Region,Garland County,AR,AR
5059,Little Rock & Hot Springs Region,Hot Spring County,AR,AR
5061,Little Rock & Hot Springs Region,Howard County,AR,AR
5085,Little Rock & Hot Springs Region,Lonoke County,AR,AR
5097,Little Rock & Hot Springs Region,Montgomery County,AR,AR
5105,Little Rock & Hot Springs Region,Perry County,AR,AR
5109,Little Rock & Hot Springs Region,Pike County,AR,AR
5113,Little Rock & Hot Springs Region,Polk County,AR,AR
5119,Little Rock & Hot Springs Region,Pulaski County,AR,AR
5125,Little Rock & Hot Springs Region,Saline County,AR,AR
5145,Little Rock & Hot Springs Region,White County,AR,AR
5005,Northwest Region,Baxter County,AR,AR
5007,Northwest Region,Benton County,AR,AR
5009,Northwest Region,Boone County,AR,AR
5015,Northwest Region,Carroll County,AR,AR
5033,Northwest Region,Crawford County,AR,AR
5047,Northwest Region,Franklin County,AR,AR
5071,Northwest Region,Johnson County,AR,AR
5083,Northwest Region,Logan County,AR,AR
5087,Northwest Region,Madison County,AR,AR
5089,Northwest Region,Marion County,AR,AR
5101,Northwest Region,Newton County,AR,AR
5115,Northwest Region,Pope County,AR,AR
5129,Northwest Region,Searcy County,AR,AR
5131,Northwest Region,Sebastian County,AR,AR
5143,Northwest Region,Washington County,AR,AR
5029,Northwest Region,Conway County,AR,AR
6053,Central Coast,Monterey County,CA,CA
6079,Central Coast,San Luis Obispo County,CA,CA
6083,Central Coast,Santa Barbara County,CA,CA
6111,Central Coast,Ventura County,CA,CA
6001,East Bay,Alameda County,CA,CA
6037,Los Angeles Area,Los Angeles County,CA,CA
6013,Northern Bay Area,Contra Costa County,CA,CA
6095,Northern Bay Area,Solano County,CA,CA
6055,Northern Bay Area,Napa County,CA,CA
6089,Northern Region,Shasta County,CA,CA
6011,Northern Region,Colusa County,CA,CA
6015,Northern Region,Del Norte County,CA,CA
6021,Northern Region,Glenn County,CA,CA
6023,Northern Region,Humboldt County,CA,CA
6035,Northern Region,Lassen County,CA,CA
6045,Northern Region,Mendocino County,CA,CA
6049,Northern Region,Modoc County,CA,CA
6063,Northern Region,Plumas County,CA,CA
6091,Northern Region,Sierra County,CA,CA
6093,Northern Region,Siskiyou County,CA,CA
6101,Northern Region,Sutter County,CA,CA
6103,Northern Region,Tehama County,CA,CA
6105,Northern Region,Trinity County,CA,CA
6115,Northern Region,Yuba County,CA,CA
6007,Northern Region,Butte County,CA,CA
6033,Northern Region,Lake County,CA,CA
6047,Northern San Joaquin Valley,Merced County,CA,CA
6077,Northern San Joaquin Valley,San Joaquin County,CA,CA
6099,Northern San Joaquin Valley,Stanislaus County,CA,CA
6059,Orange County,Orange County,CA,CA
6065,Riverside Region,Riverside County,CA,CA
6067,Sacramento & Davis,Sacramento County,CA,CA
6113,Sacramento & Davis,Yolo County,CA,CA
6071,San Bernadino Region,San Bernardino County,CA,CA
6073,San Diego Area,San Diego County,CA,CA
6041,San Francisco Area,Marin County,CA,CA
6075,San Francisco Area,San Francisco County,CA,CA
6081,San Francisco Area,San Mateo County,CA,CA
6097,San Francisco Area,Sonoma County,CA,CA
6069,Santa Cruz & San Jose Area,San Benito County,CA,CA
6085,Santa Cruz & San Jose Area,Santa Clara County,CA,CA
6087,Santa Cruz & San Jose Area,Santa Cruz County,CA,CA
6061,Sierra Nevada Mountains,Placer County,CA,CA
6003,Sierra Nevada Mountains,Alpine County,CA,CA
6005,Sierra Nevada Mountains,Amador County,CA,CA
6009,Sierra Nevada Mountains,Calaveras County,CA,CA
6027,Sierra Nevada Mountains,Inyo County,CA,CA
6039,Sierra Nevada Mountains,Madera County,CA,CA
6043,Sierra Nevada Mountains,Mariposa County,CA,CA
6051,Sierra Nevada Mountains,Mono County,CA,CA
6057,Sierra Nevada Mountains,Nevada County,CA,CA
6109,Sierra Nevada Mountains,Tuolumne County,CA,CA
6017,Sierra Nevada Mountains,El Dorado County,CA,CA
6019,Southern San Joaquin Valley,Fresno County,CA,CA
6029,Southern San Joaquin Valley,Kern County,CA,CA
6031,Southern San Joaquin Valley,Kings County,CA,CA
6107,Southern San Joaquin Valley,Tulare County,CA,CA
8041,Colorado Springs & Pueblo,El Paso County,CO,CO
8101,Colorado Springs & Pueblo,Pueblo County,CO,CO
8119,Colorado Springs & Pueblo,Teller County,CO,CO
8001,Denver & Boulder Region,Adams County,CO,CO
8005,Denver & Boulder Region,Arapahoe County,CO,CO
8013,Denver & Boulder Region,Boulder County,CO,CO
8014,Denver & Boulder Region,Broomfield County,CO,CO
8019,Denver & Boulder Region,Clear Creek County,CO,CO
8031,Denver & Boulder Region,Denver County,CO,CO
8035,Denver & Boulder Region,Douglas County,CO,CO
8039,Denver & Boulder Region,Elbert County,CO,CO
8047,Denver & Boulder Region,Gilpin County,CO,CO
8049,Denver & Boulder Region,Grand County,CO,CO
8059,Denver & Boulder Region,Jefferson County,CO,CO
8093,Denver & Boulder Region,Park County,CO,CO
8117,Denver & Boulder Region,Summit County,CO,CO
8069,Fort Collins-Cheyenne Area,Larimer County,CO,CO-WY
8123,Fort Collins-Cheyenne Area,Weld County,CO,CO-WY
56001,Fort Collins-Cheyenne Area,Albany County,WY,CO-WY
56021,Fort Collins-Cheyenne Area,Laramie County,WY,CO-WY
8003,Outlying Colorado Region,Alamosa County,CO,CO
8007,Outlying Colorado Region,Archuleta County,CO,CO
8009,Outlying Colorado Region,Baca County,CO,CO
8011,Outlying Colorado Region,Bent County,CO,CO
8015,Outlying Colorado Region,Chaffee County,CO,CO
8017,Outlying Colorado Region,Cheyenne County,CO,CO
8021,Outlying Colorado Region,Conejos County,CO,CO
8023,Outlying Colorado Region,Costilla County,CO,CO
8025,Outlying Colorado Region,Crowley County,CO,CO
8027,Outlying Colorado Region,Custer County,CO,CO
8029,Outlying Colorado Region,Delta County,CO,CO
8033,Outlying Colorado Region,Dolores County,CO,CO
8037,Outlying Colorado Region,Eagle County,CO,CO
8043,Outlying Colorado Region,Fremont County,CO,CO
8045,Outlying Colorado Region,Garfield County,CO,CO
8051,Outlying Colorado Region,Gunnison County,CO,CO
8053,Outlying Colorado Region,Hinsdale County,CO,CO
8055,Outlying Colorado Region,Huerfano County,CO,CO
8057,Outlying Colorado Region,Jackson County,CO,CO
8061,Outlying Colorado Region,Kiowa County,CO,CO
8063,Outlying Colorado Region,Kit Carson County,CO,CO
8065,Outlying Colorado Region,Lake County,CO,CO
8071,Outlying Colorado Region,Las Animas County,CO,CO
8073,Outlying Colorado Region,Lincoln County,CO,CO
8075,Outlying Colorado Region,Logan County,CO,CO
8077,Outlying Colorado Region,Mesa County,CO,CO
8079,Outlying Colorado Region,Mineral County,CO,CO
8081,Outlying Colorado Region,Moffat County,CO,CO
8085,Outlying Colorado Region,Montrose County,CO,CO
8087,Outlying Colorado Region,Morgan County,CO,CO
8089,Outlying Colorado Region,Otero County,CO,CO
8091,Outlying Colorado Region,Ouray County,CO,CO
8095,Outlying Colorado Region,Phillips County,CO,CO
8097,Outlying Colorado Region,Pitkin County,CO,CO
8099,Outlying Colorado Region,Prowers County,CO,CO
8103,Outlying Colorado Region,Rio Blanco County,CO,CO
8105,Outlying Colorado Region,Rio Grande County,CO,CO
8107,Outlying Colorado Region,Routt County,CO,CO
8109,Outlying Colorado Region,Saguache County,CO,CO
8111,Outlying Colorado Region,San Juan County,CO,CO
8113,Outlying Colorado Region,San Miguel County,CO,CO
