GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Afghan,Margin of Error; Total: - Afghan,Estimate; Total: - Albanian,Margin of Error; Total: - Albanian,Estimate; Total: - Alsatian,Margin of Error; Total: - Alsatian,Estimate; Total: - American,Margin of Error; Total: - American,Estimate; Total: - Arab:,Margin of Error; Total: - Arab:,Estimate; Total: - Arab: - Egyptian,Margin of Error; Total: - Arab: - Egyptian,Estimate; Total: - Arab: - Iraqi,Margin of Error; Total: - Arab: - Iraqi,Estimate; Total: - Arab: - Jordanian,Margin of Error; Total: - Arab: - Jordanian,Estimate; Total: - Arab: - Lebanese,Margin of Error; Total: - Arab: - Lebanese,Estimate; Total: - Arab: - Moroccan,Margin of Error; Total: - Arab: - Moroccan,Estimate; Total: - Arab: - Palestinian,Margin of Error; Total: - Arab: - Palestinian,Estimate; Total: - Arab: - Syrian,Margin of Error; Total: - Arab: - Syrian,Estimate; Total: - Arab: - Arab,Margin of Error; Total: - Arab: - Arab,Estimate; Total: - Arab: - Other Arab,Margin of Error; Total: - Arab: - Other Arab,Estimate; Total: - Armenian,Margin of Error; Total: - Armenian,Estimate; Total: - Assyrian/Chaldean/Syriac,Margin of Error; Total: - Assyrian/Chaldean/Syriac,Estimate; Total: - Australian,Margin of Error; Total: - Australian,Estimate; Total: - Austrian,Margin of Error; Total: - Austrian,Estimate; Total: - Basque,Margin of Error; Total: - Basque,Estimate; Total: - Belgian,Margin of Error; Total: - Belgian,Estimate; Total: - Brazilian,Margin of Error; Total: - Brazilian,Estimate; Total: - British,Margin of Error; Total: - British,Estimate; Total: - Bulgarian,Margin of Error; Total: - Bulgarian,Estimate; Total: - Cajun,Margin of Error; Total: - Cajun,Estimate; Total: - Canadian,Margin of Error; Total: - Canadian,Estimate; Total: - Carpatho Rusyn,Margin of Error; Total: - Carpatho Rusyn,Estimate; Total: - Celtic,Margin of Error; Total: - Celtic,Estimate; Total: - Croatian,Margin of Error; Total: - Croatian,Estimate; Total: - Cypriot,Margin of Error; Total: - Cypriot,Estimate; Total: - Czech,Margin of Error; Total: - Czech,Estimate; Total: - Czechoslovakian,Margin of Error; Total: - Czechoslovakian,Estimate; Total: - Danish,Margin of Error; Total: - Danish,Estimate; Total: - Dutch,Margin of Error; Total: - Dutch,Estimate; Total: - Eastern European,Margin of Error; Total: - Eastern European,Estimate; Total: - English,Margin of Error; Total: - English,Estimate; Total: - Estonian,Margin of Error; Total: - Estonian,Estimate; Total: - European,Margin of Error; Total: - European,Estimate; Total: - Finnish,Margin of Error; Total: - Finnish,Estimate; Total: - French (except Basque),Margin of Error; Total: - French (except Basque),Estimate; Total: - French Canadian,Margin of Error; Total: - French Canadian,Estimate; Total: - German,Margin of Error; Total: - German,Estimate; Total: - German Russian,Margin of Error; Total: - German Russian,Estimate; Total: - Greek,Margin of Error; Total: - Greek,Estimate; Total: - Guyanese,Margin of Error; Total: - Guyanese,Estimate; Total: - Hungarian,Margin of Error; Total: - Hungarian,Estimate; Total: - Icelander,Margin of Error; Total: - Icelander,Estimate; Total: - Iranian,Margin of Error; Total: - Iranian,Estimate; Total: - Irish,Margin of Error; Total: - Irish,Estimate; Total: - Israeli,Margin of Error; Total: - Israeli,Estimate; Total: - Italian,Margin of Error; Total: - Italian,Estimate; Total: - Latvian,Margin of Error; Total: - Latvian,Estimate; Total: - Lithuanian,Margin of Error; Total: - Lithuanian,Estimate; Total: - Luxemburger,Margin of Error; Total: - Luxemburger,Estimate; Total: - Macedonian,Margin of Error; Total: - Macedonian,Estimate; Total: - Maltese,Margin of Error; Total: - Maltese,Estimate; Total: - New Zealander,Margin of Error; Total: - New Zealander,Estimate; Total: - Northern European,Margin of Error; Total: - Northern European,Estimate; Total: - Norwegian,Margin of Error; Total: - Norwegian,Estimate; Total: - Pennsylvania German,Margin of Error; Total: - Pennsylvania German,Estimate; Total: - Polish,Margin of Error; Total: - Polish,Estimate; Total: - Portuguese,Margin of Error; Total: - Portuguese,Estimate; Total: - Romanian,Margin of Error; Total: - Romanian,Estimate; Total: - Russian,Margin of Error; Total: - Russian,Estimate; Total: - Scandinavian,Margin of Error; Total: - Scandinavian,Estimate; Total: - Scotch-Irish,Margin of Error; Total: - Scotch-Irish,Estimate; Total: - Scottish,Margin of Error; Total: - Scottish,Estimate; Total: - Serbian,Margin of Error; Total: - Serbian,Estimate; Total: - Slavic,Margin of Error; Total: - Slavic,Estimate; Total: - Slovak,Margin of Error; Total: - Slovak,Estimate; Total: - Slovene,Margin of Error; Total: - Slovene,Estimate; Total: - Soviet Union,Margin of Error; Total: - Soviet Union,Estimate; Total: - Subsaharan African:,Margin of Error; Total: - Subsaharan African:,Estimate; Total: - Subsaharan African: - Cape Verdean,Margin of Error; Total: - Subsaharan African: - Cape Verdean,Estimate; Total: - Subsaharan African: - Ethiopian,Margin of Error; Total: - Subsaharan African: - Ethiopian,Estimate; Total: - Subsaharan African: - Ghanaian,Margin of Error; Total: - Subsaharan African: - Ghanaian,Estimate; Total: - Subsaharan African: - Kenyan,Margin of Error; Total: - Subsaharan African: - Kenyan,Estimate; Total: - Subsaharan African: - Liberian,Margin of Error; Total: - Subsaharan African: - Liberian,Estimate; Total: - Subsaharan African: - Nigerian,Margin of Error; Total: - Subsaharan African: - Nigerian,Estimate; Total: - Subsaharan African: - Senegalese,Margin of Error; Total: - Subsaharan African: - Senegalese,Estimate; Total: - Subsaharan African: - Sierra Leonean,Margin of Error; Total: - Subsaharan African: - Sierra Leonean,Estimate; Total: - Subsaharan African: - Somali,Margin of Error; Total: - Subsaharan African: - Somali,Estimate; Total: - Subsaharan African: - South African,Margin of Error; Total: - Subsaharan African: - South African,Estimate; Total: - Subsaharan African: - Sudanese,Margin of Error; Total: - Subsaharan African: - Sudanese,Estimate; Total: - Subsaharan African: - Ugandan,Margin of Error; Total: - Subsaharan African: - Ugandan,Estimate; Total: - Subsaharan African: - Zimbabwean,Margin of Error; Total: - Subsaharan African: - Zimbabwean,Estimate; Total: - Subsaharan African: - African,Margin of Error; Total: - Subsaharan African: - African,Estimate; Total: - Subsaharan African: - Other Subsaharan African,Margin of Error; Total: - Subsaharan African: - Other Subsaharan African,Estimate; Total: - Swedish,Margin of Error; Total: - Swedish,Estimate; Total: - Swiss,Margin of Error; Total: - Swiss,Estimate; Total: - Turkish,Margin of Error; Total: - Turkish,Estimate; Total: - Ukrainian,Margin of Error; Total: - Ukrainian,Estimate; Total: - Welsh,Margin of Error; Total: - Welsh,Estimate; Total: - West Indian (except Hispanic groups):,Margin of Error; Total: - West Indian (except Hispanic groups):,Estimate; Total: - West Indian (except Hispanic groups): - Bahamian,Margin of Error; Total: - West Indian (except Hispanic groups): - Bahamian,Estimate; Total: - West Indian (except Hispanic groups): - Barbadian,Margin of Error; Total: - West Indian (except Hispanic groups): - Barbadian,Estimate; Total: - West Indian (except Hispanic groups): - Belizean,Margin of Error; Total: - West Indian (except Hispanic groups): - Belizean,Estimate; Total: - West Indian (except Hispanic groups): - Bermudan,Margin of Error; Total: - West Indian (except Hispanic groups): - Bermudan,Estimate; Total: - West Indian (except Hispanic groups): - British West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - British West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Haitian,Margin of Error; Total: - West Indian (except Hispanic groups): - Haitian,Estimate; Total: - West Indian (except Hispanic groups): - Jamaican,Margin of Error; Total: - West Indian (except Hispanic groups): - Jamaican,Estimate; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Margin of Error; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Estimate; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,Margin of Error; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,Estimate; Total: - West Indian (except Hispanic groups): - West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Other West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - Other West Indian,Estimate; Total: - Yugoslavian,Margin of Error; Total: - Yugoslavian,Estimate; Total: - Other groups,Margin of Error; Total: - Other groups
0500000US01001,01001,"Autauga County, Alabama",11245,1316,0,27,0,27,0,27,1028,455,26,42,0,27,0,27,0,27,26,42,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,13,18,0,27,70,63,0,27,143,76,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,38,59,70,65,306,155,0,27,2799,603,0,27,593,432,34,54,526,183,30,39,2702,571,0,27,44,67,0,27,9,14,0,27,0,27,3512,647,0,27,579,254,0,27,0,27,0,27,0,27,0,27,0,27,9,15,55,43,0,27,258,157,24,28,0,27,41,49,0,27,446,194,694,238,0,27,0,27,0,27,0,27,0,27,85,74,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,85,74,0,27,162,78,20,25,0,27,23,39,115,97,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,5995,1206
0500000US01003,01003,"Baldwin County, Alabama",42402,2601,0,27,0,27,0,27,2606,704,227,124,0,27,0,27,0,27,166,105,0,27,0,27,9,16,31,47,30,53,47,54,0,27,25,32,172,106,0,27,23,27,11,15,455,214,61,81,220,216,94,85,0,27,21,25,279,232,0,27,308,133,31,37,259,110,1798,652,41,65,11609,1343,7,11,364,171,163,132,3917,694,409,175,14970,1352,0,27,117,69,0,27,285,135,0,27,0,27,13900,1512,0,27,3631,763,0,27,111,73,120,185,0,27,0,27,0,27,39,48,956,317,11,15,1131,350,295,206,78,80,158,98,82,63,1741,349,3090,640,0,27,19,21,287,212,22,26,0,27,97,111,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,97,111,0,27,995,377,241,129,15,25,23,30,573,199,361,445,22,33,0,27,0,27,0,27,0,27,22,24,30,54,287,441,0,27,0,27,0,27,0,27,18,27,15755,1665
0500000US01005,01005,"Barbour County, Alabama",2513,350,0,21,0,21,0,21,474,182,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,21,0,21,0,21,0,21,2,4,0,21,9,10,0,21,0,21,0,21,0,21,4,7,52,34,0,21,479,119,0,21,68,51,0,21,140,92,0,21,549,139,0,21,42,40,0,21,0,21,0,21,0,21,973,233,0,21,152,102,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,56,39,4,6,0,21,0,21,0,21,91,59,151,87,0,21,0,21,0,21,0,21,0,21,4,7,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,7,0,21,33,24,0,21,0,21,12,19,38,29,4,6,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,6,0,21,0,21,0,21,0,21,0,21,1401,275
0500000US01007,01007,"Bibb County, Alabama",2326,410,0,21,0,21,0,21,252,190,7,15,0,21,0,21,0,21,0,21,7,15,0,21,0,21,0,21,0,21,0,21,0,21,0,21,39,58,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,34,53,0,21,95,62,0,21,510,223,0,21,71,68,0,21,133,95,7,9,632,207,0,21,0,21,0,21,0,21,0,21,0,21,1054,312,7,15,166,86,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,11,0,21,0,21,10,11,0,21,13,14,99,85,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,11,23,0,21,0,21,29,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,1183,271
0500000US01009,01009,"Blount County, Alabama",8398,999,0,27,0,27,0,27,339,142,37,61,0,27,0,27,0,27,0,27,0,27,0,27,0,27,37,61,0,27,0,27,0,27,0,27,0,27,0,27,3,5,2,4,110,129,0,27,44,67,0,27,0,27,1,3,5,9,0,27,16,18,3,4,60,66,453,220,0,27,2121,421,0,27,141,128,0,27,495,189,17,26,2763,525,0,27,6,8,0,27,47,69,0,27,0,27,3661,637,0,27,461,235,0,27,0,27,0,27,0,27,0,27,0,27,0,27,91,93,3,7,291,214,0,27,0,27,34,42,24,41,204,89,624,335,0,27,0,27,0,27,0,27,0,27,70,85,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,14,0,27,0,27,63,76,0,27,96,83,62,50,2,4,17,26,146,93,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,3971,745
0500000US01011,01011,"Bullock County, Alabama",794,271,0,18,0,18,0,18,47,36,2,6,0,18,0,18,0,18,0,18,2,6,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,24,28,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,21,29,0,18,132,84,0,18,10,20,0,18,20,22,0,18,29,27,0,18,0,18,0,18,0,18,0,18,0,18,59,47,0,18,10,12,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,86,122,0,18,0,18,0,18,0,18,7,11,96,86,0,18,0,18,0,18,0,18,0,18,37,57,0,18,0,18,0,18,0,18,0,18,0,18,1,5,0,18,0,18,0,18,0,18,0,18,0,18,36,57,36,57,0,18,0,18,0,18,0,18,2,4,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,595,252
0500000US01013,01013,"Butler County, Alabama",1725,260,0,21,0,21,0,21,349,132,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,5,7,0,21,0,21,47,43,0,21,0,21,8,12,0,21,0,21,4,6,0,21,5,7,0,21,3,5,44,26,0,21,450,138,0,21,18,20,0,21,47,35,0,21,327,107,0,21,0,21,0,21,0,21,0,21,0,21,542,144,0,21,65,49,0,21,0,21,0,21,0,21,0,21,4,5,0,21,0,21,0,21,45,49,0,21,0,21,0,21,0,21,111,82,127,69,0,21,0,21,0,21,0,21,0,21,23,33,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,23,33,0,21,8,11,0,21,4,9,0,21,15,18,37,58,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,58,0,21,0,21,0,21,0,21,0,21,960,212
0500000US01015,01015,"Calhoun County, Alabama",20287,1475,0,27,0,27,0,27,1036,257,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,12,13,80,67,0,27,0,27,0,27,123,95,0,27,0,27,6,10,0,27,0,27,23,35,0,27,24,29,0,27,87,103,1119,329,0,27,4301,641,0,27,285,122,72,98,959,280,132,80,6552,794,0,27,165,119,0,27,4,7,0,27,0,27,7857,922,0,27,1146,309,0,27,41,56,0,27,0,27,0,27,0,27,17,26,332,188,0,27,360,171,56,66,3,6,155,123,29,46,594,217,1074,307,10,20,0,27,31,50,0,27,0,27,205,127,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,205,127,0,27,237,174,159,102,0,27,3,7,420,208,261,156,33,43,0,27,0,27,0,27,0,27,0,27,172,143,26,32,30,42,0,27,0,27,0,27,0,27,10489,1182
0500000US01017,01017,"Chambers County, Alabama",3057,496,0,24,0,24,0,24,186,101,8,12,0,24,0,24,0,24,8,12,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,8,12,0,24,22,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,38,57,201,107,0,24,797,227,0,24,71,77,0,24,172,92,20,23,712,242,0,24,8,14,0,24,0,24,0,24,0,24,1245,295,0,24,156,129,0,24,0,24,0,24,0,24,0,24,0,24,15,23,8,13,0,24,43,58,0,24,0,24,0,24,0,24,51,39,205,125,0,24,0,24,0,24,0,24,0,24,24,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,34,0,24,10,13,0,24,0,24,0,24,22,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1710,366
