GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Afghan,Margin of Error; Total: - Afghan,Estimate; Total: - Albanian,Margin of Error; Total: - Albanian,Estimate; Total: - Alsatian,Margin of Error; Total: - Alsatian,Estimate; Total: - American,Margin of Error; Total: - American,Estimate; Total: - Arab:,Margin of Error; Total: - Arab:,Estimate; Total: - Arab: - Egyptian,Margin of Error; Total: - Arab: - Egyptian,Estimate; Total: - Arab: - Iraqi,Margin of Error; Total: - Arab: - Iraqi,Estimate; Total: - Arab: - Jordanian,Margin of Error; Total: - Arab: - Jordanian,Estimate; Total: - Arab: - Lebanese,Margin of Error; Total: - Arab: - Lebanese,Estimate; Total: - Arab: - Moroccan,Margin of Error; Total: - Arab: - Moroccan,Estimate; Total: - Arab: - Palestinian,Margin of Error; Total: - Arab: - Palestinian,Estimate; Total: - Arab: - Syrian,Margin of Error; Total: - Arab: - Syrian,Estimate; Total: - Arab: - Arab,Margin of Error; Total: - Arab: - Arab,Estimate; Total: - Arab: - Other Arab,Margin of Error; Total: - Arab: - Other Arab,Estimate; Total: - Armenian,Margin of Error; Total: - Armenian,Estimate; Total: - Assyrian/Chaldean/Syriac,Margin of Error; Total: - Assyrian/Chaldean/Syriac,Estimate; Total: - Australian,Margin of Error; Total: - Australian,Estimate; Total: - Austrian,Margin of Error; Total: - Austrian,Estimate; Total: - Basque,Margin of Error; Total: - Basque,Estimate; Total: - Belgian,Margin of Error; Total: - Belgian,Estimate; Total: - Brazilian,Margin of Error; Total: - Brazilian,Estimate; Total: - British,Margin of Error; Total: - British,Estimate; Total: - Bulgarian,Margin of Error; Total: - Bulgarian,Estimate; Total: - Cajun,Margin of Error; Total: - Cajun,Estimate; Total: - Canadian,Margin of Error; Total: - Canadian,Estimate; Total: - Carpatho Rusyn,Margin of Error; Total: - Carpatho Rusyn,Estimate; Total: - Celtic,Margin of Error; Total: - Celtic,Estimate; Total: - Croatian,Margin of Error; Total: - Croatian,Estimate; Total: - Cypriot,Margin of Error; Total: - Cypriot,Estimate; Total: - Czech,Margin of Error; Total: - Czech,Estimate; Total: - Czechoslovakian,Margin of Error; Total: - Czechoslovakian,Estimate; Total: - Danish,Margin of Error; Total: - Danish,Estimate; Total: - Dutch,Margin of Error; Total: - Dutch,Estimate; Total: - Eastern European,Margin of Error; Total: - Eastern European,Estimate; Total: - English,Margin of Error; Total: - English,Estimate; Total: - Estonian,Margin of Error; Total: - Estonian,Estimate; Total: - European,Margin of Error; Total: - European,Estimate; Total: - Finnish,Margin of Error; Total: - Finnish,Estimate; Total: - French (except Basque),Margin of Error; Total: - French (except Basque),Estimate; Total: - French Canadian,Margin of Error; Total: - French Canadian,Estimate; Total: - German,Margin of Error; Total: - German,Estimate; Total: - German Russian,Margin of Error; Total: - German Russian,Estimate; Total: - Greek,Margin of Error; Total: - Greek,Estimate; Total: - Guyanese,Margin of Error; Total: - Guyanese,Estimate; Total: - Hungarian,Margin of Error; Total: - Hungarian,Estimate; Total: - Icelander,Margin of Error; Total: - Icelander,Estimate; Total: - Iranian,Margin of Error; Total: - Iranian,Estimate; Total: - Irish,Margin of Error; Total: - Irish,Estimate; Total: - Israeli,Margin of Error; Total: - Israeli,Estimate; Total: - Italian,Margin of Error; Total: - Italian,Estimate; Total: - Latvian,Margin of Error; Total: - Latvian,Estimate; Total: - Lithuanian,Margin of Error; Total: - Lithuanian,Estimate; Total: - Luxemburger,Margin of Error; Total: - Luxemburger,Estimate; Total: - Macedonian,Margin of Error; Total: - Macedonian,Estimate; Total: - Maltese,Margin of Error; Total: - Maltese,Estimate; Total: - New Zealander,Margin of Error; Total: - New Zealander,Estimate; Total: - Northern European,Margin of Error; Total: - Northern European,Estimate; Total: - Norwegian,Margin of Error; Total: - Norwegian,Estimate; Total: - Pennsylvania German,Margin of Error; Total: - Pennsylvania German,Estimate; Total: - Polish,Margin of Error; Total: - Polish,Estimate; Total: - Portuguese,Margin of Error; Total: - Portuguese,Estimate; Total: - Romanian,Margin of Error; Total: - Romanian,Estimate; Total: - Russian,Margin of Error; Total: - Russian,Estimate; Total: - Scandinavian,Margin of Error; Total: - Scandinavian,Estimate; Total: - Scotch-Irish,Margin of Error; Total: - Scotch-Irish,Estimate; Total: - Scottish,Margin of Error; Total: - Scottish,Estimate; Total: - Serbian,Margin of Error; Total: - Serbian,Estimate; Total: - Slavic,Margin of Error; Total: - Slavic,Estimate; Total: - Slovak,Margin of Error; Total: - Slovak,Estimate; Total: - Slovene,Margin of Error; Total: - Slovene,Estimate; Total: - Soviet Union,Margin of Error; Total: - Soviet Union,Estimate; Total: - Subsaharan African:,Margin of Error; Total: - Subsaharan African:,Estimate; Total: - Subsaharan African: - Cape Verdean,Margin of Error; Total: - Subsaharan African: - Cape Verdean,Estimate; Total: - Subsaharan African: - Ethiopian,Margin of Error; Total: - Subsaharan African: - Ethiopian,Estimate; Total: - Subsaharan African: - Ghanaian,Margin of Error; Total: - Subsaharan African: - Ghanaian,Estimate; Total: - Subsaharan African: - Kenyan,Margin of Error; Total: - Subsaharan African: - Kenyan,Estimate; Total: - Subsaharan African: - Liberian,Margin of Error; Total: - Subsaharan African: - Liberian,Estimate; Total: - Subsaharan African: - Nigerian,Margin of Error; Total: - Subsaharan African: - Nigerian,Estimate; Total: - Subsaharan African: - Senegalese,Margin of Error; Total: - Subsaharan African: - Senegalese,Estimate; Total: - Subsaharan African: - Sierra Leonean,Margin of Error; Total: - Subsaharan African: - Sierra Leonean,Estimate; Total: - Subsaharan African: - Somali,Margin of Error; Total: - Subsaharan African: - Somali,Estimate; Total: - Subsaharan African: - South African,Margin of Error; Total: - Subsaharan African: - South African,Estimate; Total: - Subsaharan African: - Sudanese,Margin of Error; Total: - Subsaharan African: - Sudanese,Estimate; Total: - Subsaharan African: - Ugandan,Margin of Error; Total: - Subsaharan African: - Ugandan,Estimate; Total: - Subsaharan African: - Zimbabwean,Margin of Error; Total: - Subsaharan African: - Zimbabwean,Estimate; Total: - Subsaharan African: - African,Margin of Error; Total: - Subsaharan African: - African,Estimate; Total: - Subsaharan African: - Other Subsaharan African,Margin of Error; Total: - Subsaharan African: - Other Subsaharan African,Estimate; Total: - Swedish,Margin of Error; Total: - Swedish,Estimate; Total: - Swiss,Margin of Error; Total: - Swiss,Estimate; Total: - Turkish,Margin of Error; Total: - Turkish,Estimate; Total: - Ukrainian,Margin of Error; Total: - Ukrainian,Estimate; Total: - Welsh,Margin of Error; Total: - Welsh,Estimate; Total: - West Indian (except Hispanic groups):,Margin of Error; Total: - West Indian (except Hispanic groups):,Estimate; Total: - West Indian (except Hispanic groups): - Bahamian,Margin of Error; Total: - West Indian (except Hispanic groups): - Bahamian,Estimate; Total: - West Indian (except Hispanic groups): - Barbadian,Margin of Error; Total: - West Indian (except Hispanic groups): - Barbadian,Estimate; Total: - West Indian (except Hispanic groups): - Belizean,Margin of Error; Total: - West Indian (except Hispanic groups): - Belizean,Estimate; Total: - West Indian (except Hispanic groups): - Bermudan,Margin of Error; Total: - West Indian (except Hispanic groups): - Bermudan,Estimate; Total: - West Indian (except Hispanic groups): - British West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - British West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Haitian,Margin of Error; Total: - West Indian (except Hispanic groups): - Haitian,Estimate; Total: - West Indian (except Hispanic groups): - Jamaican,Margin of Error; Total: - West Indian (except Hispanic groups): - Jamaican,Estimate; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Margin of Error; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Estimate; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,Margin of Error; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,Estimate; Total: - West Indian (except Hispanic groups): - West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Other West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - Other West Indian,Estimate; Total: - Yugoslavian,Margin of Error; Total: - Yugoslavian,Estimate; Total: - Other groups,Margin of Error; Total: - Other groups,Estimate; Total: - Unclassified or not reported,Margin of Error; Total: - Unclassified or not reported
0500000US01001,01001,"Autauga County, Alabama",55221,*****,0,27,0,27,0,27,9975,1283,26,42,0,27,0,27,0,27,26,42,0,27,0,27,0,27,0,27,0,27,0,27,0,27,70,112,57,67,0,27,70,63,0,27,479,336,0,27,8,13,0,27,0,27,0,27,0,27,0,27,14,25,38,59,86,67,368,160,0,27,5050,751,0,27,951,524,82,72,790,221,78,62,4065,725,0,27,103,112,0,27,9,14,0,27,0,27,5501,767,0,27,808,267,0,27,0,27,0,27,0,27,0,27,0,27,9,15,163,90,54,81,278,157,24,28,10,16,94,64,8,14,1592,629,1269,341,0,27,0,27,0,27,0,27,0,27,662,354,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,662,354,0,27,404,194,20,25,0,27,23,39,137,101,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,21529,1357,9528,1076
0500000US01003,01003,"Baldwin County, Alabama",195121,*****,0,27,0,27,0,27,44079,2518,275,144,0,27,0,27,0,27,203,120,2,6,0,27,9,16,31,47,39,70,47,54,0,27,50,52,219,129,0,27,67,58,264,217,957,299,90,93,353,265,234,105,0,27,24,26,459,360,0,27,590,204,79,53,283,116,2242,691,97,89,23084,1685,7,11,1830,438,364,201,5265,781,836,304,22213,1640,0,27,197,97,0,27,442,190,9,14,11,18,22694,1909,0,27,5558,906,27,36,162,114,120,185,0,27,0,27,0,27,135,103,1576,524,41,30,2154,546,308,205,208,177,350,161,166,112,3722,536,5307,892,8,14,58,69,321,216,22,26,0,27,168,130,0,27,0,27,0,27,31,45,0,27,0,27,0,27,0,27,2,4,0,27,0,27,0,27,0,27,135,121,0,27,1554,432,425,183,15,25,112,74,824,267,673,496,37,56,0,27,0,27,0,27,0,27,22,24,30,54,501,478,83,102,0,27,0,27,0,27,90,72,51997,2124,31555,2162
0500000US01005,01005,"Barbour County, Alabama",26932,*****,0,21,0,21,0,21,4672,499,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,25,0,21,0,21,14,21,11,19,0,21,0,21,6,9,0,21,9,10,0,21,0,21,0,21,0,21,4,7,115,53,0,21,1369,257,0,21,203,115,0,21,192,107,14,18,1008,199,0,21,50,42,0,21,0,21,0,21,0,21,1628,295,0,21,194,101,0,21,0,21,0,21,0,21,0,21,0,21,0,21,13,21,13,19,75,51,11,12,0,21,22,28,0,21,360,142,295,117,0,21,0,21,6,11,0,21,0,21,56,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,56,36,0,21,58,36,0,21,0,21,12,19,42,30,4,6,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,6,0,21,0,21,0,21,0,21,0,21,15036,489,3662,421
0500000US01007,01007,"Bibb County, Alabama",22604,*****,0,21,0,21,0,21,2866,607,7,15,0,21,0,21,0,21,0,21,7,15,0,21,0,21,0,21,0,21,0,21,0,21,0,21,65,95,0,21,0,21,0,21,15,23,0,21,15,20,0,21,0,21,0,21,11,18,0,21,0,21,49,74,0,21,111,62,0,21,1469,378,0,21,143,107,0,21,179,104,15,15,1187,319,0,21,0,21,0,21,0,21,0,21,0,21,2142,465,7,15,269,110,0,21,0,21,0,21,0,21,0,21,0,21,0,21,36,56,22,38,9,11,0,21,0,21,18,19,0,21,63,49,232,114,0,21,0,21,0,21,0,21,0,21,43,40,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,43,40,0,21,0,21,11,23,0,21,0,21,29,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,7031,639,8595,798
0500000US01009,01009,"Blount County, Alabama",57710,*****,0,27,0,27,0,27,7913,810,122,114,0,27,0,27,0,27,0,27,0,27,0,27,0,27,80,79,42,46,0,27,0,27,0,27,0,27,0,27,3,5,17,23,174,137,0,27,68,104,17,24,0,27,1,3,5,9,0,27,26,23,3,4,64,66,656,243,0,27,6490,820,0,27,2241,616,0,27,917,309,17,26,4235,610,0,27,6,8,0,27,196,228,0,27,0,27,11567,1153,0,27,815,278,0,27,0,27,0,27,0,27,0,27,0,27,48,53,124,95,3,7,402,232,15,18,0,27,34,42,24,41,696,208,1279,439,0,27,15,23,31,35,0,27,0,27,266,190,0,27,0,27,0,27,0,27,0,27,8,13,0,27,0,27,0,27,0,27,7,14,0,27,0,27,251,192,0,27,390,245,62,50,2,4,17,26,196,110,4,7,0,27,0,27,0,27,0,27,0,27,4,7,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14269,1017,12302,1265
0500000US01011,01011,"Bullock County, Alabama",10678,*****,0,18,0,18,0,18,440,127,2,6,0,18,0,18,0,18,0,18,2,6,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,61,53,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,21,29,18,31,229,99,0,18,22,28,0,18,31,25,0,18,117,99,0,18,0,18,0,18,7,11,0,18,0,18,239,110,0,18,21,25,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,119,146,0,18,0,18,0,18,0,18,67,52,272,154,0,18,0,18,0,18,0,18,0,18,116,113,0,18,0,18,0,18,0,18,0,18,0,18,1,5,0,18,0,18,0,18,0,18,0,18,0,18,115,113,36,57,0,18,0,18,0,18,0,18,7,11,34,43,0,18,0,18,0,18,0,18,0,18,0,18,34,43,0,18,0,18,0,18,0,18,0,18,0,18,7849,535,1389,446
0500000US01013,01013,"Butler County, Alabama",20354,*****,0,21,0,21,0,21,2813,358,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,5,7,0,21,0,21,54,45,0,21,0,21,8,12,0,21,0,21,4,6,0,21,5,7,0,21,3,5,54,29,0,21,1076,190,0,21,147,109,0,21,85,47,0,21,464,148,0,21,0,21,0,21,0,21,0,21,0,21,1034,197,0,21,85,57,0,21,0,21,0,21,0,21,0,21,4,5,0,21,0,21,0,21,55,49,0,21,0,21,0,21,0,21,276,129,263,89,5,7,0,21,0,21,0,21,0,21,505,245,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,505,245,0,21,13,13,0,21,4,9,0,21,21,25,37,58,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,58,0,21,0,21,0,21,0,21,0,21,11134,536,3723,379
0500000US01015,01015,"Calhoun County, Alabama",116648,*****,0,27,0,27,0,27,17878,1267,110,109,0,27,66,98,0,27,8,12,11,19,0,27,0,27,0,27,25,37,24,27,0,27,22,19,104,89,12,20,4,7,0,27,562,288,0,27,22,34,37,34,0,27,0,27,49,54,0,27,24,29,0,27,87,103,1364,357,0,27,8674,957,0,27,940,216,104,129,1397,317,287,142,9389,1010,0,27,192,128,0,27,19,24,0,27,0,27,12112,1131,16,23,1802,374,30,46,50,57,0,27,0,27,0,27,0,27,119,93,462,210,0,27,550,191,62,66,17,19,166,129,61,58,1259,307,1998,377,10,20,0,27,40,54,0,27,0,27,1375,440,0,27,91,134,89,99,9,14,0,27,66,105,0,27,0,27,0,27,0,27,0,27,0,27,0,27,1120,402,0,27,337,187,188,107,0,27,3,7,543,268,369,190,33,43,0,27,0,27,0,27,0,27,12,20,226,176,46,44,52,53,0,27,0,27,0,27,18,30,35089,1739,36843,1764
0500000US01017,01017,"Chambers County, Alabama",34079,*****,0,24,0,24,0,24,3677,510,14,16,0,24,0,24,0,24,14,16,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,65,51,0,24,22,35,0,24,0,24,2,4,0,24,0,24,0,24,0,24,41,58,240,112,0,24,1871,350,0,24,269,155,0,24,235,105,52,46,1362,387,0,24,8,14,0,24,0,24,0,24,0,24,2529,406,0,24,401,227,0,24,0,24,0,24,0,24,0,24,0,24,47,76,23,25,0,24,68,62,7,10,0,24,37,55,0,24,299,126,441,180,0,24,0,24,0,24,0,24,0,24,104,70,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,104,70,0,24,50,31,0,24,0,24,0,24,24,24,13,19,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,19,0,24,0,24,0,24,0,24,0,24,15711,615,9142,864
